"N","T_","PC1","PC2","PC3","IC1","IC2","IC3"
100,40,2.002,2,3.179,1.994,1.981,1.999
100,60,2,2,2.82,2,1.999,2
200,60,2,2,2,2,2,2
500,60,2,2,2,2,2,2
