"N","T_","PC1","PC2","PC3","IC1","IC2","IC3"
100,40,3,3,3.643,3,2.999,3
100,60,3,3,3.394,3,3,3
200,60,3,3,3,3,3,3
500,60,3,3,3,3,3,3
1000,60,3,3,3,3,3,3
