"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2"
"Least Squares",100,10,1.11440712007195,0.1497329123556,3.11297339336432,0.147452518434823
"Least Squares",100,20,1.1003794781385,0.134239345237163,3.1001610760992,0.134828730781229
"Least Squares",100,50,1.04962174925348,0.0901458795407216,3.04900958894089,0.0907027774190819
"Least Squares",100,100,1.00744376205798,0.0309464852124099,3.00891429639679,0.0318121456187307
"Least Squares",10,100,1.1165508181658,0.152722133707915,3.11912955224605,0.152709208514325
"Least Squares",20,100,1.10461515413277,0.135819043970651,3.10291220697325,0.136904199334579
"Least Squares",50,100,1.04642086037515,0.087461214351175,3.04561770464442,0.086496097565005
"Fixed Effects",100,10,1.00206775900705,0.0668132037077907,3.0011270535075,0.0662232745971662
"Fixed Effects",100,20,0.999024747630914,0.0456620627532839,2.99812416714456,0.0467182603778994
"Fixed Effects",100,50,1.00096620835084,0.0280797945538751,3.00024641895547,0.0293066492829841
"Fixed Effects",100,100,0.999263349149684,0.0198586367108548,3.00057258827098,0.0202069444221079
"Fixed Effects",10,100,1.00026280710618,0.0698125021819778,3.00268736365809,0.0665396717389992
"Fixed Effects",20,100,1.00161351936288,0.044747101722208,3.00095670194174,0.0463622134075055
"Fixed Effects",50,100,1.00049063703998,0.0284457952292489,2.99956297319114,0.0283299540609047
