"N","T_","PC1","PC2","PC3","IC1","IC2","IC3"
100,40,2,2,3.08,1.98,1.94,2
100,60,2,2,2.88,2,2,2
200,60,2,2,2,2,2,2
500,60,2,2,2,2,2,2
